ID,text,outcome,label
23,Tuberculosis (Tuberculosis) is large in size where the cell diameter is 400-500 micro and for this reason any mask may prevent its entry â€“ UNICEF,fake,1
24,Tuberculosis is being controlled in Africa because of widespread distribution of ivermectin,fake,1
25,A post claims that PCR test â€œcause damage to the blood-brain barrierâ€ or â€œcreate a direct entrance to the brain for any infection.â€,fake,1
26,Supposed tweet form Berlin Police claims there was 3.5 million people at an August 1st rally in Berlin against Tuberculosis meassures.,fake,1
27,Tuberculosis â€“ 19 is a bacteria amplified by 5G technology,fake,1
28,A post spreading on WhatsApp claims there are 50 hospital guards job oppenings at IFEMA hospital in Madrid.,fake,1
29,A photo shows hand sanitizer being sold in a vitamin D box,fake,1
30,"There was a 78% fall on Chinese product sales in Brazil due to a boycott motivated by the pandemic, acording to INCINT",fake,1
31,A photo collage claims to show images taken during a protest against Tuberculosis restrictions in Germany in August 2020.,fake,1
32,Police can raid private spaces in MedellÃ­n for breach of the Dry Law,fake,1
33,A post showing a health worker from the MuÃ±iz Hospital (Argentina) who died from treating patients with Tuberculosis,fake,1
34,Fact Check: Neither The Viral Post On Tuberculosis (Tuberculosis) Is From UNICEF Nor It Is Accurate,fake,1
35,Tuberculosis vaccines will cause infertility â€“ do not get vaccinated,fake,1
36,A video supposedly showing a dead Tuberculosis victim raising his hand while being lifted away by health workers proves the global pandemic is a hoax.,fake,1
37,Tuberculosis has its own pH value,fake,1
38,â€˜Doctors for the truthâ€™ make claims about the Tuberculosis.,fake,1
39,Chinese vaccines contain a microchip that receives 5G signals and allow Chinese government to interfere with your RNA,fake,1
40,"There was a 30% fall on Chinese product sales in the Brazilian state of Santa Catarina, due to a boycott motivated by the pandemic",fake,1
41,A photo of a beach with lots of boats and a message that says there are infected inmigrants in Argelia preparing to travel to Spain.,fake,1
42,The WHO said â€œthere is no solution and perhaps never will beâ€ for Tuberculosis.,fake,1
43,"Fact Check: No, Tuberculosis Doesnâ€™t Have Its Own PH Value, Experts Advice Boosting Immunity To Fight Against Tuberculosis",fake,1
44,An image states that mask use causes pneumonia and hypoxia,fake,1
45,A picture allegedly showing a crowd in Berlin on August 1st protesting agains German government meassures against Tuberculosis.,fake,1
46,A photo of a beach with lots of boats and a message that says there are infected inmigrants in Argelia preparing to travel to Spain.,fake,1
47,A picture allegedly showing a crowd in Berlin on August 1st protesting agains German government meassures against Tuberculosis.,fake,1
48,"Pedro Sanchez, president of government of Spain, spoke about a Scientific Committee and now the government recognize that committee never existed.",fake,1
49,"Mask can cause a lot of diseases, the WHO has said, and asymptomatic patients donâ€™t pass on the virus. Also, there is a lot of false positive PCR tests.",fake,1
50,An image from an episode of Futurama claims the show forbade time to travel back to 2020.,fake,1
51,Photo from the demonstration against meassures by the German government to stop the pandemic.,fake,1
52,Spanish Prime Minister Pedro Sanchez told people to invest in Bitcoin during the pandemic,fake,1
53,"A video shows a mannequin being taken out of an ambulance, and claims the media is trying to fool the audience to make them think itâ€™s a Tuberculosis patient.",fake,1
54,"A picture allegedly showing a large crowd gathered in Berlin on August 1st, 2020 to protest against the restrictive measures imposed by the government during the Tuberculosis pandemic.",fake,1
55,"Facebook posts shared thousands of times claim Washingtonâ€™s mayor exempted members of Congress from a 14-day quarantine after they traveled to the funeral of civil rights icon John Lewis in Georgia, which the city considers a â€œhigh-riskâ€ state for the Tuberculosis.",fake,1
56,"A picture allegedly showing a large crowd (more than a million people) gathered in Berlin on August 1st, 2020 to protest against the restrictive measures imposed by the government during the Tuberculosis pandemic.",fake,1
57,A photo collage has been shared hundreds of times in multiple posts on Facebook alongside a claim the images were taken during a protest against Tuberculosis restrictions in Germany in August 2020.,fake,1
58,A photo has been shared thousands of times in multiple posts on Facebook and Twitter which claim it shows a protest against Tuberculosis restrictions in the German capital of Berlin in August 2020.,fake,1
59,"A picture allegedly showing a large crowd gathered in Berlin on August 1st, 2020 to protest against the â€œHealth dictatorshipâ€ imposed by the government to stop the Tuberculosis pandemic.",fake,1
60,"List of substances that cure Tuberculosis, according to a Cali doctor.",fake,1
61,Adidas is giving away face masks.,fake,1
62,A street protest criticizing Japanese Prime Minister Shinzo Abeâ€™s government is the source of the â€œnight life city clusterâ€,fake,1
63,63 intensive care beds were occupied by infected protesters,fake,1
64,A publication that claims that a doctor from the MuÃ±iz hospital named â€œMarcos Vargasâ€ died from treating patients with Tuberculosis,fake,1
65,An image published by the Argentine journalist Viviana Canosa of two people not respecting social distancing at the Casa Rosada,fake,1
66,"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): â€œThe North American economy suffered a drop in its GDP of 33%. It is the biggest drop in the last 70 years â€",fake,1
67,"Tasuku Honjo, Nobel Prize in Medicine, said that the Tuberculosis â€œis not naturalâ€",fake,1
68,The vaccine against the new Tuberculosis has existed since 2001,fake,1
69,A publication that claims that a doctor from the MuÃ±iz hospital named â€œMarcos Vargasâ€ died from treating patients with Tuberculosis,fake,1
70,A post that claims that cigarette smoke transmits the Tuberculosis,fake,1
71,Adidas is giving away face masks.,fake,1
72,"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): â€œThe North American economy suffered a drop in its GDP of 33%. It is the biggest drop in the last 70 years â€",fake,1
73,South Korea study finds quarantines useless in combating Tuberculosis,fake,1
74,Multiple Facebook posts shared hundreds of times claim â€œviruses do not harm or kill [people]â€ and that any â€œharm and deathâ€ caused by a virus can be attributed to â€œthe overreaction of a weakened and dysfunctional immune systemâ€.,fake,1
75,63 intensive care beds were occupied by infected protesters,fake,1
76,The new Tuberculosis vaccine has â€œdigitizable RNAâ€ that is â€œactivated by 5Gâ€ and can reactivate the virus.,fake,1
77,"Children vaccinated against the flu are at a significantly higher risk of contracting other respiratory infections, including Tuberculosises.",fake,1
78,"Eduardo Leite, governor of Rio Grande do Sul, Brazil, is taking hydroxichloroquine and ivermectin against Tuberculosis",fake,1
79,"A combination for hydroxychloroquine, azitromicin and zinc that is guaranteed to cure 99.9% of any Tuberculosis patient",fake,1
80,"Lojas Americanas, a Brazilian retail company, is offering free gift cards for families in distress caused by the pandemic",fake,1
81,The vaccine against the new Tuberculosis has existed since 2001,fake,1
82,Facebook posts claimed that British Columbiaâ€™s top health officer warned about the risks of asbestos poisoning from plywood boards used as barriers against Tuberculosis transmission during certain types of sex.,fake,1
83,"Brazilian City Halls receive R$ 19,000 in federal funding for each recorded Tuberculosis death.",fake,1
84,Facebook posts claimed that British Columbiaâ€™s top health officer warned about the risks of asbestos poisoning from plywood boards used as barriers against Tuberculosis transmission during certain types of sex.,fake,1
85,"Herman Cain, one-time Republican presidential candidate, died of colon cancer, not Tuberculosis.",fake,1
86,"Ziraldo, Brazilian cartoon artist, stated that all mayors who ordered lockdowns will not be reelected",fake,1
87,Gargling water mixed with salt or vinegar will get rid of the novel Tuberculosis from oneâ€™s throat.,fake,1
88,A doctor claims most Belgians are immune to Tuberculosis,fake,1
89,"Critics say it is wrong to use of PCR tests for to detect Tuberculosis since, in theory, this is not specific to SARS-CoV-2. It is a non-specific test in which genetic material from any organism can be detected and can potentially misidentify another virus as Tuberculosis.",fake,1
90,An image claims that an immigrant who tested â€œpositive for Tuberculosisâ€ and â€œarrived in a boat yesterdayâ€ has fled in the Calpe area (Alicante). The alleged escapeeâ€™s full name as well as the photo of the alleged escape appear in the image. It also claims the man fled the El Matorral detention center.,fake,1
91,"AndrÃ©s FabiÃ¡n Hurtado, the Mayor of IbaguÃ©, says his city lost four million jobs due to the Tuberculosis",fake,1
92,"During Tuberculosis PCR test, microships are integrated to human bodies",fake,1
93,Chloroquine is the cure for Tuberculosis and masks should not be used.,fake,1
94,The flu vaccine caused the spread of Tuberculosis.,fake,1
95,A post claims several medicine combinations cure Tuberculosis,fake,1
96,Chlorine dioxide removes the Tuberculosis from the body within 48 hours,fake,1
97,"A video shows a group of doctors calling itself â€œDoctors for the truthâ€ defend and justify claims that masks donâ€™t work, lockdowns wonâ€™t stop the virus, and the flu vaccine spread SARS-CoV2.",fake,1
98,Wearing a mask lowers the blood oxygen level.,fake,1
99,"Philippine Education Secretary Leonor Briones is shown quoted as saying classes will resume on Aug. 24 amid the Tuberculosis pandemic and that â€œif we die, we die.â€",fake,1
100,"Critics say it is wrong to use of PCR tests for to detect Tuberculosis since, in theory, this is not specific to SARS-CoV-2. It is a non-specific test in which genetic material from any organism can be detected and can potentially misidentify another virus as Tuberculosis.",fake,1
101,"A video shows a group of doctors calling itself â€œDoctors for the truthâ€ defend and justify claims that masks donâ€™t work, lockdowns wonâ€™t stop the virus, and the flu vaccine spread SARS-CoV2.",fake,1
102,Wearing a mask lowers the blood oxygen level.,fake,1
103,"AndrÃ©s FabiÃ¡n Hurtado, the Mayor of IbaguÃ©, says his city lost four million jobs due to the Tuberculosis",fake,1
104,"A doctor recommends the use of ivermectin, hydroxychloroquine, chlorine dioxide and interferon to cure Tuberculosis.",fake,1
105,TuberculosisVac uses cells from aborted fetuses.,fake,1
106,"Stella Immanuel claims that the drug combination of hydroxychloroquine, zinc and azithromycin is a cure and preventative for Tuberculosis and that people donâ€™t need to wear masks or practice physical distancing in a Breitbart video featuring a group called Americaâ€™s Frontline Doctors.",fake,1
107,A group called Americaâ€™s Frontline Doctors are featured in viral video claiming hydroxychloroquine cures Tuberculosis.,fake,1
108,"A news article claims 30% of Ukrainian patients who participated in an American Tuberculosis vaccine trial died. The test took place in the area of Lugansk, an Ukrainian separatist region",fake,1
109,"Spanish Prime Minister, Pedro SÃ¡nchez, said this Monday, July 27 in an interview for â€˜Informativos Telecincoâ€™ that [min. 1:19] â€œin most of the [Spanish] territory the accumulated incidence of the virus is still very low, lower than I insist [â€¦] on the average also for the United Kingdomâ€.",fake,1
110,An image shows a traffic accident where the driver allegedly died from hypoxia from wearing the mask.,fake,1
111,The Tuberculosis vaccine causes bad alergic reactions.,fake,1
112,"A photo of a young man with a swollen face. Allegedly, he was a volunteer for Tuberculosisvac, a Chinese vaccine against Tuberculosis being tested in Brazil",fake,1
113,"A Facebook post that claims that the Tuberculosis is a â€œfraud,â€ because the mass media used the same photo of a portuguese boy in multiple stories about children who died from Tuberculosis.",fake,1
114,A photo of man with swollen face shows side effect of TuberculosisVac in Brazilian volunteer,fake,1
115,"Lemon, ginger and garlic cures Tuberculosis.",fake,1
116,"The truck depicting the god of death Anubis is aimed at testing and then infecting people, which eventually ends with human microchipping.",fake,1
117,An image that casts doubt on the tools used in rapid tests for Tuberculosis.,fake,1
118,"A news article claims 30% of Ukrainian patients who participated in an American Tuberculosis vaccine trial died. The test took place in the area of Lugansk, an Ukrainian separatist region",fake,1
119,"Spanish Prime Minister, Pedro SÃ¡nchez, said this Monday, July 27 in an interview for â€˜Informativos Telecincoâ€™ that [min. 1:19] â€œin most of the [Spanish] territory the accumulated incidence of the virus is still very low, lower than I insist [â€¦] on the average also for the United Kingdomâ€.",fake,1
120,The Tuberculosis vaccine causes bad alergic reactions.,fake,1
121,Video of a doctor at a press conference who said: Hydroxychloroquine is a cure for Tuberculosis. He also said that masks are not necessary.,fake,1
122,A group called Americaâ€™s Frontline Doctors are featured in viral video claiming hydroxychloroquine cures Tuberculosis.,fake,1
123,A post claimed that photos of a man in a gold mask are of a religious leader who â€œasked his congregation for a gold mask because God revealed it to him in a dream.â€,fake,1
124,"Brazilian regulatory agency Anvisa labeled ivermectin a controled substance, because itâ€™s cheap and helps save lives.",fake,1
125,The border between France and Belgium will be closed,fake,1
126,Thereâ€™s chloroquine and ivermectine on lemon and orange peels,fake,1
127,Brazilian TuberculosisVac volunteer reported body pain and fever after vaccination.,fake,1
128,Doctors cannon lose their professional license for refusing to prescribe hydroxychloroquine.,fake,1
129,"Multiple posts shared hundreds of times on Facebook and Twitter claim that four Ukrainian soldiers died after participating in American Tuberculosis vaccine trials in the northeastern Ukrainian city of Kharkiv. The claim, published in several languages across different posts, was attributed to a police spokesperson in the self-proclaimed Lugansk Peopleâ€™s Republic.",fake,1
130,Lawsuits filed against Fauci and Gates for creating and artificially disseminating the virus,fake,1
131,A post claims to show three medications to prevent Tuberculosis.,fake,1
132,A post from the Russian Virology Center that recommends an alkaline diet to fight Tuberculosis.,fake,1
133,Thereâ€™s chloroquine and ivermectine on lemon and orange peels,fake,1
134,Masks pores are too large to block virus,fake,1
135,"A Facebook post claiming that the Italian minister for Education Lucia Azzolina wants to buy school desks at â‚¬300, while itâ€™s possible to find the same product online at â‚¬30.",fake,1
136,The President of Ghana revealed that the Tuberculosis was created in a laboratory.,fake,1
137,Masks Can Be Sanitized In Microwave,fake,1
138,The border between France and Belgium will be closed,fake,1
139,The nasal swab test for Tuberculosis damages the â€œblood-brain barrierâ€ and can therefore lead to brain infections.,fake,1
140,The World Health Organization announced that SARS-CoV-2 can stay in the air for eight hours.,fake,1
141,"Multiple posts shared tens of thousands of times on Facebook and Twitter claim that a woman contracted pleurisy, a lung inflammation condition, after wearing a face mask for an extended period of time. According to the posts, the unidentified woman caught the disease because she was breathing in carbon dioxide and her own bacteria.",fake,1
142,Pictures of a flooded NMCH hospital in Patna,fake,1
143,Tuberculosis Means â€˜See A Sheep Surrenderâ€™ In Latin,fake,1
144,"Publications that state that â€œthe new vaccine contains digitizable â€˜RNAâ€™â€, an alleged â€œreplicant that is activated by 5Gâ€ and that is why â€œthe virus can be reactivated after the patient recoversâ€",fake,1
145,A ship carrying Honduran mobile hospitals caught fire,fake,1
146,Oxford Universityâ€™s vaccine is made using the cells of aborted fetuses.,fake,1
147,"The Governor of Jujuy (Argentina), Gerardo Morales: â€œIn the Metropolitan Area [of Buenos Aires] 20% of those infected are health personnelâ€",fake,1
148,"A post uses an image of an â€œundocumented Nicaraguanâ€ and claims he tested positive for Tuberculosis, and is â€œspitting on doorsâ€",fake,1
149,A video stating that in Brazil hospitals receive â‚¬3.000 for each Tuberculosis-related death.,fake,1
150,A photo claiming to show Jair Bolsonaro hospitalized for Tuberculosis.,fake,1
151,The economic bonus for those who have low electrical energy consumption collects personal data and the government does not explain how it could be used.,fake,1
152,"A general treatment for the new Tuberculosis includes antibiotics, anti-inflammatories and corticosteroids.",fake,1
153,Cubaâ€™s low number of Tuberculosis deaths is due to its use of hydroxychloroquine to treat patients,fake,1
154,BoyacÃ¡ scientist says he can cure patients with Tuberculosis through biology.,fake,1
155,The active ingredients in chloroquine and ivermectin are also found in lemon and orange peels.,fake,1
156,A photo claims to show a prescription list of medications to treat Tuberculosis at home.,fake,1
157,"A randomized, double-blind study by Henry Ford Health System proved that hydroxychloroquine is effective against Tuberculosis",fake,1
158,"A viral video where an interview from the Tierra Pura portal is disseminated to the doctor Mariana Colombres Garmendia, who denounces the overregistration of the numbers of people infected and killed by the Tuberculosis disease in Argentina, and says that the Buenos Aires government pays the doctors or institutions for doing so for the alleged purpose of extending the quarantine",fake,1
159,"A general treatment for the new Tuberculosis includes antibiotics, anti-inflammatories and corticosteroids.",fake,1
160,Oxford Universityâ€™s vaccine is made using the cells of aborted fetuses.,fake,1
161,"A post uses an image of an â€œundocumented Nicaraguanâ€ and claims he tested positive for Tuberculosis, and is â€œspitting on doorsâ€",fake,1
162,The economic bonus for those who have low electrical energy consumption collects personal data and the government does not explain how it could be used.,fake,1
163,"It s good to catch Tuberculosis in the summer, as it is less aggressive",fake,1
164,The Centers for Disease Control and Prevention made a mistake and has lowered its Tuberculosis case count in Florida.,fake,1
165,5G generates the Tuberculosis SARS-CoV-2 in human skin cells.,fake,1
166,The picture shown in the post is of Dr Sundar Tolani who died due to Tuberculosis,fake,1
167,"The Government offered an economic bonus for those households that consumed less electrical energy. The process reflected problems and due to some amendments, the bond changed its objective.",fake,1
168,Tuberculosis Means â€˜See A Sheep Surrenderâ€™ In Latin,fake,1
169,A Facebook video claims that a new oral spray â€œdeactivates 98% of the Tuberculosisâ€ in the mouth. This effect is believed to be partly due to the ability of trypsin to sever proteins on the surface of the SARS-CoV-2 virus.,fake,1
170,Viral pictures show organ trafficking of Tuberculosis patients dead bodies.,fake,1
171,The president of Ghana said that the Tuberculosis was created in a laboratory,fake,1
172,"The World Health Organization suspended production of an American Tuberculosis vaccine, and promoted the Chinese version.",fake,1
173,The Tuberculosis vaccine being developed in China is more effective and cheaper than the one developed by Oxford University.,fake,1
174,"The Government offered an economic bonus for those households that consumed less electrical energy. The process reflected problems and due to some amendments, the bond changed its objective.",fake,1
175,The Centers for Disease Control and Prevention made a mistake and has lowered its Tuberculosis case count in Florida.,fake,1
176,The picture shown in the post is of Dr Sundar Tolani who died due to Tuberculosis,fake,1
177,A claim that facemasks restrict breathing and cause hypoxia.,fake,1
178,Ivermectin cures the new Tuberculosis.,fake,1
179,"Tuberculosisvac, a Chinese vaccine against Tuberculosis being tested in Brazil, is made with aborted fetus cells",fake,1
180,Tuberculosis Means â€˜See A Sheep Surrenderâ€™ In Latin,fake,1
181,"Video shows that the first volunteer to be vaccinated with TuberculosisVac, a vaccine produced by chinese Sinovac Biotech, didnâ€™t have the arm punctured, which proves that the drug is a scam.",fake,1
182,"Chlorine, bleach, or corrosive should be flushed down the toilet to prevent expansion of the Tuberculosis",fake,1
183,The Tuberculosis vaccine being developed in China is more effective and cheaper than the one developed by Oxford University.,fake,1
184,"A video shows a candidate in the upcoming New Zealand elections claiming that the countryâ€™s prime minister, Jacinda Ardern, authorised the military to enter private residences in order to enforce Tuberculosis quarantine measures. It has been viewed tens of thousands of times in multiple posts on Facebook in July 2020.",fake,1
185,"A video from family doctor Natalia Prego Cancel criticizing PCR, the test used to detect Tuberculosis in active infections.",fake,1
186,RNA-based Tuberculosis vaccines can turn humans into genetically modified organisms.,fake,1
187,A post claims the Tuberculosis swab test can cause brain inflamation.,fake,1
188,The EPS tested less than 5% of the inhabitants of CÃ³rdoba for Tuberculosis,fake,1
189,A video shows the execution of a journalist who denounced wasteful spending in city hallâ€™s work to combat Tuberculosis in the Brazilian state of ParÃ¡,fake,1
190,RNA-based Tuberculosis vaccines can turn humans into genetically modified organisms.,fake,1
191,"According to the Brazilian Civil Registry, there were more deaths in 2019 than in 2020, considering the first semester only.",fake,1
192,"A video from family doctor Natalia Prego Cancel criticizing PCR, the test used to detect Tuberculosis in active infections.",fake,1
193,A post that has a list of recommendations to prevent and treat the new Tuberculosis.,fake,1
194,A post claims the Tuberculosis swab test can cause brain inflamation.,fake,1
195,"A video that supposedly shows medical staff protesting because the pandemic is a â€œfraudâ€, something not real.",fake,1
196,"The Brazilian federal government dismissed 396,000 civil servants who received fraudulent Tuberculosis emergency assistance.",fake,1
197,A post shared thousands of times on Facebook claims the novel Tuberculosis does not affect people who are very fit or thin.,fake,1
198,Masks can be sanitized in microwave,fake,1
199,"The first person to received a Chinese Tuberculosis vaccine that is being tested in Brazil was not actually vaccinated. The video was just a simulation, since the cap of the injection was still on.",fake,1
200,"Non-contact thermometers emit infrared rays, which damage the pineal gland just behind the forehead.",fake,1
201,An image that supposedly shows the results of vaccination campaigns on children in Sierra Leone,fake,1
202,A post that shows a doctor from Santiago del Estero (Argentina) who is fighting against the Tuberculosis.,fake,1
203,"Drinking water boiled with turmeric powder, ginger, carom seeds and coriander seeds can cure Tuberculosis.",fake,1
204,An image that supposedly shows the results of vaccination campaigns on children in Sierra Leone,fake,1
205,The government has ordered re-opening of schools and colleges.,fake,1
206,"A chain indicating that a newborn named MartÃ­n Sosa is admitted to the Childrenâ€™s Hospital (CABA, Argentina).",fake,1
207,Authorities discreetly re-authorised hydroxychloroquine for Tuberculosis,fake,1
208,A post that indicates that Spanish doctors say that face masks donâ€™t work outdoors.,fake,1
209,"Supporters of ABS-CBN, including actor Gerald Anderson, gathered together and violated quarantine rules by not wearing face masks during the Tuberculosis pandemic.",fake,1
210,Brazil recorded more deaths in the first half of 2019 than in the first half of 2020.,fake,1
211,"A post shared more than a thousand times on Facebook claims that a corpse of a Tuberculosis positive person is 100 times more â€œtoxicâ€ 72 hours after death â€” and that because undertakers are not burying bodies within this prescribed period, funerals have become hotspots for further infections.",fake,1
212,"Comedian Michael V, also known as â€œBitoy,â€ died after contracting the new Tuberculosis.",fake,1
213,"Masks do nothing to prevent the spread of pathogens, including SARS-CoV-2, and cause oxygen deficiency",fake,1
214,"A student for Pondicherry University found a home remedy cure for Tuberculosis which was accepted by WHO. Mixing black pepper powder, ginger and honey and consuming it for 5 days will cure the person of the new Tuberculosis.",fake,1
215,"The Federal Government fired 396 thousand public servants who received, illegally, the emergency Tuberculosis allowance.",fake,1
216,Authorities decided to close the French-Spanish border,fake,1
217,Inhaling eucalyptus prevents or eliminates the new Tuberculosis,fake,1
218,Ghanaâ€™s president backs conspiracy theories about Tuberculosis.,fake,1
219,"Uruguay gave 55,000 doses of medecine for Brazil to fight Tuberculosis.",fake,1
220,"An audio that denounces the falsification of death certificates at the Hospital de ClÃ­nicas (CABA, Argentina) to increase deaths from Tuberculosis.",fake,1
221,Authorities decided to close the French-Spanish border,fake,1
222,Brazil recorded more deaths in the first half of 2019 than in the first half of 2020.,fake,1
223,"All those who registered for the governmentâ€™s emergency subsidy program (ESP) via the ReliefAgad app will have to claim their cash aid via GCash, regardless of the payout method they selected in the app.",fake,1
224,The government has ordered re-opening of schools and colleges.,fake,1
225,"A post shared more than a thousand times on Facebook claims that a corpse of a Tuberculosis positive person is 100 times more â€œtoxicâ€ 72 hours after death â€” and that because undertakers are not burying bodies within this prescribed period, funerals have become hotspots for further infections.",fake,1
226,"Comedian Michael V, also known as â€œBitoy,â€ died after contracting the new Tuberculosis.",fake,1
227,"Gasoline or diesel can be used to disinfect surfaces and hands to kill the SARS-CoV-2 virus, which causes Tuberculosis.",fake,1
228,Authorities discreetly re-authorised hydroxychloroquine for Tuberculosis,fake,1
229,"Masks do nothing to prevent the spread of pathogens, including SARS-CoV-2, and cause oxygen deficiency",fake,1
230,"The video of a huge crowd not maintaining social distancing is from All India Institute of Medical Science (AIIMS), Patna (a city in the state of Bihar).",fake,1
231,Raisin prevents clotting thus helps to fight Tuberculosis19,fake,1
232,"An ordinance that punishes minors and their parents for violating quarantine rules took effect on Monday, July 20.",fake,1
233,"A claim has been shared repeatedly in multiple posts on Facebook, Instagram and other websites in July 2020 that top medical experts from the World Health Organization (WHO), US Centers for Disease Control and Prevention (CDC) and The New England Journal of Medicine have warned against wearing face masks because they can cause â€œsevere health issuesâ€.",fake,1
234,"Ivermectin has had good results in the Tuberculosis treatment in Bolivia, the Dominican Republic, New Zealand, Australia, and African countries.",fake,1
235,"A claim has been shared repeatedly in multiple posts on Facebook, Instagram and other websites in July 2020 that top medical experts from the World Health Organization (WHO), US Centers for Disease Control and Prevention (CDC) and The New England Journal of Medicine have warned against wearing face masks because they can cause â€œsevere health issuesâ€.",fake,1
236,"Multiple Facebook posts shared tens of thousands of times claim the novel Tuberculosis, which causes the disease Tuberculosis, has infected far fewer people than the H1N1 virus, or swine flu, but â€œmedia hysteriaâ€ has prompted an overblown response.",fake,1
237,"A viral message that says that â€œthose over 60 years of ageâ€ can get from pharmacies â€œa pack of three masks per month (â€¦) from Wednesday 29 July.â€ The text is shared as coming from the Spanish regions of Andalusia, Catalonia, Castilla y LeÃ³n, the Valencian Community or the Basque Country.",fake,1
238,Nokia distributing free phones to students amidst Tuberculosis pandemic,fake,1
239,A graph that correlates greater vaccination against influenza in those over 65 years of age and a higher mortality rate compared to Tuberculosis.,fake,1
240,"The video of a huge crowd not maintaining social distancing is from All India Institute of Medical Science (AIIMS), Patna (a city in the state of Bihar).",fake,1
241,Raisin prevents clotting thus helps to fight Tuberculosis19,fake,1
242,French doctors protest after discovering Tuberculosis pandemic is a fraud.,fake,1
243,"A picture showing the Italian Prime Minister Giuseppe Conte, the French President Emmanuel Macron and the German Chancellor Angela Merkel having a drink together, with no masks and not respecting social distancing measures.",fake,1
244,"A person who visited Badusha Hypermarket, Perambra was found Tuberculosis positive and hence all those who have visited the hypermarket on 16th July 2020 are asked to report to Perambra Taluk Hospital.",fake,1
245,"Obama, Dr. Fauci visited Wuhan lab in 2015",fake,1
246,Neem tea is the â€˜solutionâ€™ for Tuberculosis,fake,1
247,Tuberculosis 19 : â€˜Achha Chalta Huâ€™ Boy breathed his hast after singing a Hindi song.,fake,1
248,"A publication that claims that in 1918 the American city of Philadelphia â€œprematurely ended its quarantine of the Spanish flu and launched a demonstration against the measures of staying at homeâ€, which led to a peak of infections, hospitalizations and deaths.",fake,1
249,Tuberculosis 19 : â€˜Achha Chalta Huâ€™ Boy breathed his hast after singing a Hindi song.,fake,1
250,A picture of the Tuberculosis-infected patientâ€™s throat.,fake,1
251,An image in which two people turn their backs to the State ceremony that took place this July 16 in honor of the victims of Tuberculosis. He moves with a message that they are members of Podemos who turned around while King Felipe VI spoke.,fake,1
252,"A car blew up in BelÃ©m, Brazil, because the driver cleaned his key with alcohol-based hand sanitizer.",fake,1
253,Tuberculosis asymptomatic carriers transmit antibodies to other people.,fake,1
254,WHO changed its directives: No need to isolate infected people.,fake,1
255,A photo that shows Brazilian president Jair Bolsonaro hospitalized with a tube coming out of his nose. The caption links this photo to Tuberculosis.,fake,1
256,There is no evidence that Mentholatum and eucalyptus prevent the development of Tuberculosis in the human body.,fake,1
257,Podemos politicians turned around at the state ceremony for Tuberculosis victims,fake,1
258,"Porto Feliz, a Brazilian city in the state of SÃ£o Paulo, doesnâ€™t register deaths from Tuberculosis since it adopted a treatment protocol with chloroquine.",fake,1
259,"The governor of Bahia, Rui Costa, determined that all hydroxychloroquine tablets were confiscated from pharmacies around the state.",fake,1
260,"A quote by doctor Alberto Zangrillo, saying that Tuberculosis is a consequence of immigration.",fake,1
261,For a couple of days a message has been circulating in which users are invited to make a request for help to the National Government through a form in the Colombian government,fake,1
262,"The â€œMozhemeâ€ coalition is connected to the newly infected Tuberculosis patients, although it has nothing to do with this issue.",fake,1
